itemid,item,type,group,sentence,question,answer,hasquestion
library_dir_lit,1,exp,1,"John and Mary went to the library together.*While they were studying, Mary answered several phone calls in a very loud voice.*John said:*""Mary,*you're speaking*too*loudly*for my*liking.""",Did John and Mary go to the supermarket?,0,1
library_dir_sarc,1,exp,2,"John and Mary went to the library together.*While they were studying, Mary answered several phone calls in a very loud voice.*John said:*""Mary,*you're speaking*too*quietly*for my*liking.""",Did John and Mary go to the supermarket?,0,1
library_ind_lit,1,exp,3,"John and Mary went to the library together.*While they were studying, Mary answered several phone calls, in a very loud voice.*John said that*Mary was speaking*too*loudly*for his*liking.",Did John and Mary go to the supermarket?,0,1
library_ind_sarc,1,exp,4,"John and Mary went to the library together.*While they were studying, Mary answered several phone calls, in a very loud voice.*John said that*Mary was speaking*too*quietly*for his*liking.",Did John and Mary go to the supermarket?,0,1
babysit_dir_lit,2,exp,4,"David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered:*""My partner's having a*difficult*time*babysitting the kids*for the day.""",XXX,2,0
babysit_dir_sarc,2,exp,1,"David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered:*""My partner's having a*relaxed*time*babysitting the kids*for the day.""",XXX,2,0
babysit_ind_lit,2,exp,2,"David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered that*their partner was having a*difficult*time*babysitting the kids*for the day.",XXX,2,0
babysit_ind_sarc,2,exp,3,"David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered that*their partner was having a*relaxed*time*babysitting the kids*for the day.",XXX,2,0
lego_dir_lit,3,exp,3,"Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James:*""You were*really*useless,*please*go away.""",Was Jennifer building a lego set? ,1,1
lego_dir_sarc,3,exp,4,"Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James:*""You were*really*helpful,*please*go away""",Was Jennifer building a lego set? ,1,1
lego_ind_lit,3,exp,1,"Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James that*he was*really*useless*and should*go away.",Was Jennifer building a lego set? ,1,1
lego_ind_sarc,3,exp,2,"Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James that*he was*really*helpful*and should*go away.",Was Jennifer building a lego set? ,1,1
competition_dir_lit,4,exp,2,"Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break,*Susan told Robert:*""You are*an unskilled*player.""",XXX,2,0
competition_dir_sarc,4,exp,3,"Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break,*Susan told Robert:*""You are*a terrific*player.""",XXX,2,0
competition_ind_lit,4,exp,4,"Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break,*Susan told Robert that*he was*an unskilled*player.",XXX,2,0
competition_ind_sarc,4,exp,1,"Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break,*Susan told Robert that*he was*a teriffic*player.",XXX,2,0
sleep_dir_lit,5,exp,1,"Karen was working late at night*and struggled to stay awake.*William told Karen:*""Falling asleep at a laptop*is always*awful.""*Karen decided to*head to bed.",XXX,2,0
sleep_dir_sarc,5,exp,2,"Karen was working late at night*and struggled to stay awake.*William told Karen:*""Falling asleep at a laptop*is always*fun.""*Karen decided to*head to bed.",XXX,2,0
